MinE_Orb; E_min; Last_Orb; E_last; Last_MO
138; 1.978950; 121; 1.549330;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
137; 1.958740; 137; 1.923400;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
136; 1.932530; 123; 1.636910;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
139; 2.055390; 140; 2.041060;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
140; 2.056020; 102; 1.073930;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
142; 2.177780; 44; -0.069600;  8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
15; -1.058140; 16; -1.025860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
141; 2.138460; 111; 1.350480;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
25; -0.689660; 27; -0.641310;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
146; 2.222210; 143; 2.187060;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
143; 2.189380; 44; -0.069600;  8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
148; 2.294140; 14; -1.151980;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
147; 2.276290; 147; 2.258860;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
151; 2.391960; 27; -0.641310;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
59; 0.308710; 18; -0.875460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
152; 2.396100; 14; -1.151980;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
153; 2.399950; 152; 2.400740;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
149; 2.322820; 118; 1.518500;  14N 13N
155; 2.454150; 98; 0.990730;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
154; 2.408520; 113; 1.420060;  14N 13N
157; 2.556420; 101; 1.047710;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
156; 2.523640; 156; 2.506530;  9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
158; 2.583960; 112; 1.419910;  14N 13N
159; 2.595970; 160; 2.564240;  14N 13N
161; 2.659500; 18; -0.875460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
163; 2.769110; 125; 1.675980;  9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
19; -0.840780; 19; -0.820460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
162; 2.731530; 162; 2.717800;  9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
169; 3.083170; 168; 2.985680;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
167; 2.997600; 131; 1.812210;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
166; 2.925020; 130; 1.778810;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
160; 2.610820; 18; -0.875460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
168; 3.044710; 15; -1.034450;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
169; 3.083170; 168; 2.985680;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
170; 3.171030; 18; -0.875460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
172; 3.350540; 161; 2.587040;  9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
171; 3.185450; 19; -0.820460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
173; 3.661130; 24; -0.693720;  9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C

